Emotion,User Input (Humanized),Bot Response (Humanized)
Angry,"""අද හැම දෙයක්ම මාව අවුල් කරනවා!""","""ඔයා අද ගොඩක් පීඩනයෙන් වගේ ඉන්නේ. ඒක සාමාන්‍යයි. පොඩි විවේකයක් අරන් ඇවිදින්න ගියොත් හිතට ටිකක් සැහැල්ලුවක් දැනෙයිද?"""
Angry,"""මම ආයෙත් මගේ ළමයින්ට කෑගැහුවා.""","""ඔයා ඒක තේරුම් ගත්ත එකම හොඳ ආරම්භයක්. ඔයාට තරහ යන්න කලින් ඇත්තටම දැනුණේ මොකක්ද? සමහරවිට ඒක තෙහෙට්ටුව හෝ දුක වෙන්න ඇති."""
Angry,"""එයාලා උදව් කරන්න පොරොන්දු වෙලා ආවේ නෑ.""","""පොරොන්දු කඩන එක හරිම වේදනාකාරීයි. තරහ ගන්න කලින් අපි හිතමු එයාලට මොකක් හරි කරදරයක් වුණාද කියලා."""
Angry,"""මගේ ලොක්කා කවදාවත් මගේ වැඩ අගය කරන්නේ නෑ.""","""ඒක ඇත්තටම කලකිරෙන දෙයක්. ඒත් 'කවදාවත් නෑ' කියන එක ඇත්තමද? සමහරවිට අපිට නොපෙනෙන පොඩි අගය කිරීම් තියෙන්නත් පුළුවන්."""
Angry,"""මගේ ප්ලෑන්ස් ආයෙත් අවුල් වුණා කියලා හිතද්දී මට මහ මලක් පනින්නේ.""","""උත්සාහ කරලා කරපු දෙයක් වුණාම ඒක හරිම කලකිරීමක්. තරහ ටිකක් අඩු වුණාම බලමු මේක වෙන විදිහකට කරන්න බැරිද කියලා."""
Angry,"""මිනිස්සු මට බොරු කියන එක මට පෙන්නන්න බෑ.""","""විශ්වාසය බිඳෙන එක හරිම වේදනාකාරීයි. බොරු කියන එක ඔයාට මොන වගේ හැඟීමක්ද ඇති කරන්නේ කියලා පොඩ්ඩක් හිතමු."""
Angry,"""මට හිතෙනවා හැමෝම මට විරුද්ධයි කියලා.""","""එහෙම හිතෙනකොට මහ මූසල හැඟීමක් දැනෙන්නේ. මෑතකදී ඔයාට උදව් කරපු එක්කෙනෙක් හරි හිටියේ නැද්ද?"""
Angry,"""ඔයාලා හැම දේකටම මාවමයි පටලවන්නේ!""","""'හැම වෙලාවෙම' කියලා හිතද්දී තරහ වැඩි වෙනවා. එයාලා එහෙම නොකරන වෙලාවල් තියෙනවද කියලා පොඩ්ඩක් හිතමු."""
Angry,"""මට දැන් මොනවා හරි පොළොවේ ගහන්න තරම් තරහක් තියෙන්නේ.""","""ඒක හරිම තද පීඩනයක්. මොහොතකට හෙමින් හුස්මක් ගන්න, එතැනින් ටිකක් ඈත් වෙලා හිත නිදහස් කරගන්න උත්සාහ කරමු."""
Angry,"""මාව නොසලකා හරින එක මට කිසිසේත්ම ඉවසන්න බෑ!""","""නොසලකා හරිනකොට තමන් නැති කෙනෙක් වගේ දැනෙනවා. ඒක ගැන තරහින් නැතුව සන්සුන්ව කතා කරන්න පුළුවන්ද?"""
Angry,"""මගේ පාට්නර් මාව තේරුම් ගන්නේ නැති එකට මට හරිම තරහයි.""","""තේරුම් ගන්නේ නෑ කියලා දැනෙද්දී ලොකු පාලුවක් එනවා. සමහරවිට එයා ඔයාට ඇහුම්කන් දෙන විදිහ වෙනස් ඇති. පොඩි දෙයකින් පටන් අරන් ඔයාට දැනෙන දේ කියමු."""
Angry,"""මිනිස්සු මගේ වෙලාවට පොඩ්ඩක්වත් ගරු කරන්නේ නෑ.""","""ඔයාගේ වෙලාව හරිම වටිනවා. 'මට දැන් යන්න ඕනේ' වගේ දේවල් කලින්ම සන්සුන්ව කියන්න පුහුණු වෙමු."""
Angry,"""අද මට හැමෝටම කෑගහන්න හිතෙනවා.""","""ඔයා ඇතුළේ ලොකු කලකිරීමක් තියෙනවා වගේ. කාට හරි බනින්න කලින්, ඒක කොළයක ලියලා හරි හිත නිදහස් කරගන්න බලමු."""
Angry,"""මම කරපු වැඩේ ගෞරවය වෙන කෙනෙක් අරන් ගියා!""","""ඒක ලොකු අසාධාරණයක්. ආවේගයෙන් වැඩ කරන්නේ නැතුව, ඔයාගේ දායකත්වය සාක්ෂි එක්ක පස්සේ සන්සුන්ව පෙන්නලා දෙමු."""
Angry,"""මට නිතරම කරන්න ඕන දේවල් අනුන්ගෙන් අහන්න වෙලා තියෙන එකට මට මහන්සියි.""","""කාගෙන් හරි යැපෙන්න වෙන එක හරිම පීඩනයක්. ඔයාට තනියම කරන්න පුළුවන් පොඩි දෙයකින් පටන් ගන්න බලමු."""
Angry,"""මේ දවස්වල මට හරිම ඉක්මනට කේන්ති යනවා.""","""ඒක ඔයාට තේරෙන එකම ලොකු දෙයක්. තරහ එන්න කලින් සාමාන්‍යයෙන් මොකක්ද වෙන්නේ කියලා පොඩ්ඩක් නිරීක්ෂණය කරමු."""
Angry,"""ගිය සතියේ වුණ රණ්ඩුව ගැන තාමත් මට හරිම තරහයි.""","""තරහ දිගටම තියෙන්නේ ඒ ප්‍රශ්නය හිත ඇතුළේ තාම ඉවර නැති නිසයි. ඒකෙන් ඔයා බලාපොරොත්තු වුණේ මොකක්ද?"""
Angry,"""මට මගේ ජොබ් එක පෙන්නන්න බෑ. එතන හැම දෙයක්ම මාව අවුල් කරනවා.""","""ඒක හරිම කරදරකාරී තත්වයක්. 'හැමදේම' අවුල්ද නැත්නම් විශේෂ ප්‍රශ්න කීපයක්ද තියෙන්නේ කියලා අපි බලමු."""
Angry,"""මගේ අදහස් කවුරුත් අහන්නේ නෑ කියලා හිතද්දී මට කේන්ති යනවා.""","""අහන්නේ නෑ කියලා දැනෙද්දී වෛරයක් ඇති වෙන්න පුළුවන්. ඒක වෙන විදිහකට, සන්සුන්ව කියන්න බලමුද?"""
Angry,"""මට එයාලට කවදාවත් සමාව දෙන්න බෑ.""","""සමාව දෙනවා කියන්නේ එයාලා කරපු දේ හරි කියන එක නෙවෙයි. ඒ තරහෙන් ඔයා නිදහස් වෙනවා කියන එකයි."""
Angry,"""මට මාව නවත්තගන්න බැරිව දොර හයියෙන් වහලා දැම්මා.""","""ඒක හරිම ආවේගශීලී මොහොතක්. ඒ වෙලාවේ හිතට ආපු මුල්ම සිතුවිල්ල මොකක්ද?"""
Angry,"""ඇයි මිනිස්සු මම කතා කරද්දී මැදින් පනින්නේ?""","""ඒක ඇත්තටම කරදරයක්. කෑගහන්නේ නැතුව 'මම මේක කියලා ඉවර කරන්නම්' කියලා සන්සුන්ව කියමු."""
Angry,"""මගේ දෙමව්පියෝ මට තීරණ ගන්න කවදාවත් ඉඩ දෙන්නේ නෑ.""","""ඒක හරිම හිරවීමක්. ඔයාටම ගන්න පුළුවන් පුංචිම තීරණය මොකක්ද?"""
Angry,"""මාව පාලනය කරන්න හදනවට මම වෛර කරනවා.""","""පාලනය වෙන්න අකමැති වීම කියන්නේ ඔයා ස්වාධීන වෙන්න හදනවා කියන එකයි. ඒක හොඳ දෙයක්."""
Angry,"""මගේ සහකරුට අපේ ඇනිවර්සරි එක අමතක වුණ එකට මට මාර තරහයි.""","""ඒක ඇත්තටම රිදෙන දෙයක්. ඒත් එයා ඒක හිතාමතා කළාද නැත්නම් වැඩ නිසා අමතක වුණාද කියලා හිතමු."""
Angry,"""මට ඇයි මේ තරම් ඉක්මනට තරහ යන්නේ?""","""තරහ යන්න කලින් ඔයාගේ ඇඟට දැනෙන වෙනස (හුස්ම වේගවත් වීම වගේ) පොඩ්ඩක් බලන්න පුරුදු වෙමු."""
Angry,"""එයාලා මට කියපු දේවල් මම ආයෙ ආයෙත් හිත හිතා ඉන්නවා.""","""එකම දේ හිතන එකෙන් තරහ තවත් වැඩි වෙනවා. ඒක සිතුවිල්ලක් විතරයි කියලා හිතලා වෙන වැඩකට හිත යොමු කරමු."""
Angry,"""එයාලා හැමෝම ඉස්සරහා මාව ලැජ්ජ කළා.""","""අපහාසයක් වුණාම ලොකු වේදනාවක් දැනෙනවා. කේන්තියෙන් නැතුව ඒක ඔයාට බලපෑව විදිහ ගැන පස්සේ කතා කරමු."""
Angry,"""මගේ මල්ලි/නංගි හැමදාම වැරදි කරලා බේරෙනවා.""","""ඒ අසාධාරණකම හිතට වද දෙනවා ඇති. ඒක ඇත්තටම හැමදාම වෙන දෙයක්ද?"""
Angry,"""කවුරුත් මාව සීරියස් ගන්නේ නෑ කියලා මට හිතෙනවා.""","""ඔයාගේ අදහස් මීට වඩා පැහැදිලිව සහ සන්සුන්ව කියන්න පුළුවන් ක්‍රමයක් ගැන අපි හිතමු."""
Angry,"""ඒ මීටින් එකෙන් පස්සේ මට තාම සන්සුන් වෙන්න බෑ.""","""පොඩ්ඩක් ඇවිදලා, වතුර වීදුරුවක් බීලා ඉමු. මීටින් එක ඔයා හිතන තරම්ම නරකද කියලා පස්සේ හිතමු."""
Angry,"""දේවල් මම හිතන විදිහටම වෙන්නේ නැති වුණාම මට මාර තරහක් එන්නේ.""","""හැමදේම ප්ලෑන් එකට වෙන්නේ නෑ. එහෙම නොවුණාම ඒක වෙනස් විදිහකට බලන්න පුළුවන්ද?"""
Angry,"""මට මිනිස්සුත් එක්ක ගනුදෙනු කරලා දැන් හොඳටම ඇති වෙලා.""","""සම්බන්ධකම් කඩනවා වෙනුවට, ඔයාට කරදර කරන විශේෂ දේ මොකක්ද කියලා අපි බලමු."""
Angry,"""මට දැන් බිත්තියට පාරක් ගහන්න තරම් කේන්තියි.""","""ඒක හරිම තද හැඟීමක්. හුස්ම ගන්න එකට විතරක් අවධානය දීලා බලන්න, ඒ පීඩනය ටිකක් අඩු වෙයි."""
Angry,"""එයාලා හැමවෙලේම මාව ප්‍රයෝජනයට ගන්නවා.""","""එහෙම හිතෙනකොට හරිම අසරණයි. ඔයා 'බෑ' කියපු අවස්ථා මීට කලින් තිබුණේම නැද්ද?"""
Angry,"""ආගියුමන්ට්ස් වලින් පරදින්න මම කොහොමත් අකමැතියි.""","""හරියටම දිනන්න ඕනෙමද, නැත්නම් දෙන්නාට දෙන්නා තේරුම් ගන්න එකද වැදගත්?"""
Angry,"""මේ දවස්වල පොඩි දේටත් මට කේන්ති යනවා.""","""සමහරවිට ඔයා ගොඩක් Stress වෙලා ඇති. නිදාගන්න එක, කන බොන එක ගැන පොඩ්ඩක් බලන්න."""
Angry,"""ගෙදර කවුරුත් මම කියන දේ අහන්නේ නෑ වගේ දැනෙන්නේ.""","""ඒක හරිම පාලු හැඟීමක්. පස්සේ වෙලාවක හැමෝම සන්සුන්ව ඉන්නකොට මේ ගැන කතා කරමු."""
Angry,"""එයාලා මගේ විශ්වාසය සම්පූර්ණයෙන්ම බිඳලා දැම්මා.""","""විශ්වාසය නැති වුණාම ලොකු පාවාදීමක් දැනෙනවා. ඒ ගැනම හිතන්නේ නැතුව ඉදිරියට ඔයාගේ සීමා මොනවා වෙන්න ඕනෙද කියලා හිතමු."""
Angry,"""ඒක කොච්චර අසාධාරණද කියලා මට හිතෙන එක නවත්තගන්න බෑ.""","""එකම දේ හිත හිතා ඉන්න එකෙන් වෙන්නේ ඔයාම රිද්දගන්න එක. ඒක වුණ දෙයක් කියලා පිළිගමු."""
Angry,"""ඔෆිස් එකේ එක්කෙනෙක් මගේ අදහස් හොරකම් කරලා එයාගේ වගේ පාවිච්චි කරනවා!""","""ඒක ඇත්තටම හිතට හරිම අමාරු දෙයක්. එකපාරටම කේන්ති ගන්නවා වෙනුවට, ඒ වුණ දේවල් ලියාගෙන පස්සේ හෙමින් සැරේ ඔයාගේ ලොක්කා එක්ක කතා කරමු."""
Angry,"""මට මාවම පාලනය කරගන්න බැරි වෙන එක ගැන මට මාර තරහයි.""","""ඔයා ඒක තේරුම් ගත්ත එකම ලොකු දෙයක්. අපි බලමු මොන වගේ වෙලාවටද, කවුරු එක්ක ඉන්නකොටද ඔයාට මෙහෙම වෙන්නේ කියලා."""
Angry,"""මිනිස්සු මාව පෑගුවත් මම නිහඬව ඉන්න එක ගැන මට මගේ ගැනම වෛරයක් තියෙන්නේ.""","""තමන්ටම දොස් පවරන්න එපා. ඊළඟ වතාවේ ඔයාට අකමැති දෙයක් වුණොත් 'බෑ' කියලා කියන්න පුරුදු වෙමු."""
Angry,"""මම මගේ යාළුවාට කෑ ගැහුවා, දැන් මට ඒ ගැන මාර අප්සෙට්.""","""කේන්ති ගියාම පසුතැවිල්ල එන එක සාමාන්‍යයි. එයාගෙන් සමාව අරන්, ආයෙත් එහෙම නොවෙන්න මොකක්ද කරන්න පුළුවන් කියලා හිතමු."""
Angry,"""මේ දවස්වල මගේ පාට්නර් මොනවා කිව්වත් මට මල පනිනවා.""","""ඒ කියන්නේ ඔයාගේ හිතේ යටපත් වෙච්ච මොකක් හරි වේදනාවක් තියෙනවා. අපි බලමු ඇත්තටම ඔයාට රිදිලා තියෙන්නේ මොනවා ගැනද කියලා."""
Angry,"""එයාලා ආයෙත් මට බොරු කිව්වා කියලා මට හිතාගන්නවත් බෑ.""","""විශ්වාසය බිඳෙනකොට ඇත්තටම ලොකු කේන්තියක් එනවා. හැමෝම බොරු කියනවා කියලා හිතන්නේ නැතුව, ඇයි එහෙම වුණේ කියලා සන්සුන්ව හිතමු."""
Angry,"""මගේ ප්‍රොජෙක්ට් එක ෆේල් වුණ එක ගැන මට මාර තරහයි.""","""වැඩක් වැරදුණාම තමන්ටම බැනගන්න හිතෙනවා. ඒත් ඒකෙන් අලුත් දෙයක් ඉගෙන ගන්න බැරි වෙයිද කියලා බලමු."""
Angry,"""අද රෙස්ටුරන්ට් එකේදී මට හොඳටම කේන්ති ගියා.""","""මොකක් නිසාද එහෙම වුණේ? කෑම පරක්කු වුණ එකද නැත්නම් කාගේ හරි කතා විලාසයද? ඒක දැනගත්තම ඊළඟ සැරේ පාලනය කරගන්න ලේසියි."""
Angry,"""එයාලා මගේ පිටිපස්සෙන් මට බනිනවා.""","""එහෙම දැනෙනකොට හිතට හරිම අමාරුයි. ඒත් ඇත්තටම ඒක සිද්ධ වෙනවද කියලා ඔයාට ෂුවර්ද? නැත්නම් ඒක හිතේ ඇතිවුණ සැකයක් විතරද?"""
Angry,"""අන්තිම මොහොතේ ප්ලෑන්ස් වෙනස් වෙද්දී මට මාර විදිහට මල පනිනවා.""","""ඔයා හැමදේම ප්ලෑන් එකට කරන්න කැමති කෙනෙක්. ඒත් සමහර දේවල් අපිට පාලනය කරන්න බෑ කියලා හිතලා හිත හදාගමු."""
Angry,"""ගුරුවරයා හැමෝම ඉස්සරහා මට බැන්නා, මට මාර ලැජ්ජයි.""","""ඒ වගේ වෙලාවට හැමෝම අපිට හිනා වෙනවා කියලා හිතෙනවා. ඒත් ඇත්තටම මිනිස්සුන්ට ඕවා ඉක්මනට අමතක වෙනවා."""
Angry,"""එයාලා මට ඉන්වයිට් කළේ නැති එක ගැන මට මාර තරහයි.""","""තමන්ව කොන් කළා වගේ දැනෙනකොට රිදෙනවා. සමහරවිට එයාලට ඒක අමතක වුණා වෙන්නත් පුළුවන් නේද?"""
Angry,"""මම ඇයි හැම වෙලේම රණ්ඩු වෙන්නේ?""","""ඔයා ඒ රටාව තේරුම් ගත්ත එක හොඳයි. රණ්ඩුවක් පටන් ගන්න කලින් හිතට දැනෙන හැඟීම මොකක්ද කියලා පොඩ්ඩක් බලමු."""
Angry,"""එයාලා මා ගැන බොරු කටකතා පතුරවනවා.""","""ඒක ඇත්තටම අමාරු තත්වයක්. ඒත් හැමෝටම උත්තර දෙන්න යන්නේ නැතුව ඔයාගේ වැඩක් බලාගෙන ඉන්න එක තමයි හොඳම දේ."""
Angry,"""මට 'සන්සුන් වෙන්න' කියලා කවුරු හරි කියනකොට මට තවත් තරහ යනවා!""","""ඔව්, ඒ වචනේ ඇහෙනකොට තවත් අවුල් යනවා තමයි. ඒ වගේ වෙලාවට 'මට පොඩ්ඩක් තනියම ඉන්න ඉඩ දෙන්න' කියලා එයාලට කියමු."""
Angry,"""මම කියන දේවල් කවුරුත් අහන්නේ නෑ!""","""නොසලකා හරිනවා වගේ දැනෙනකොට කලකිරෙනවා. ඊළඟ සැරේ ඔයාගේ අදහස් ටිකක් පැහැදිලිව, සන්සුන්ව කියලා බලමුද?"""
Angry,"""මම කියපු දේවල් වලට මට මගේ ගැනම සමාව දෙන්න බෑ.""","""පසුතැවිල්ල හිතට මාර බරක්. ඒත් එක වැරැද්දකින් ඔයාව මනින්න බෑ. ඔයාගේ යාළුවෙක්ට මෙහෙම වුණා නම් ඔයා එයාට මොකක්ද කියන්නේ?"""
Angry,"""මගේ පාට්නර් හැම දේකටම මට බනිනවා.""","""ඒක ඇත්තටම අසාධාරණයි. රණ්ඩු වෙන්නේ නැතුව 'ඇත්තටම වුණේ මේකයි' කියලා සන්සුන්ව කරුණු කියන්න උත්සාහ කරමු."""
Angry,"""මිනිස්සු මගේ වෙලාව කනවා!""","""වෙලාව කියන්නේ හරිම වටින දෙයක්. කේන්ති ගන්නේ නැතුව 'අපි වෙලාවට වැඩේ පටන් ගමු' කියලා එයාලට කෙලින්ම කියමු."""
Angry,"""මගේ සීමාවන් ඉක්මවා යනකොට මට මාර තරහයි.""","""ඔයාගේ සීමාවන් ගැන ඔයාට දැනෙන කේන්තිය සාධාරණයි. ඊළඟ සැරේ ඒවා මීට වඩා පැහැදිලිව එයාලට කියන්න."""
Angry,"""මම එකම රණ්ඩුව හිත ඇතුළේ ආයෙ ආයෙත් කරනවා.""","""එකම දේ හිත හිතා හිටියොත් තරහ නිවෙන්නේ නෑ. මොහොතකට ඒක නතර කරලා වෙන වැඩක හිත යොමු කරමු."""
Angry,"""මගේ අදහස් ප්‍රතික්ෂේප කරද්දී මම ඒකට කොහොමත් අකමැතියි.""","""කවුරුත් අකමැතියි තමන්ගේ අදහස් වලට පිටුපානවාට. ඒ වගේ වෙලාවට 'ඇයි ඔයා එහෙම කියන්නේ?' කියලා සන්සුන්ව අහමු."""
Angry,"""මට නිකන් අසාධාරණ ලෙස දොස් පවරනකොට මට තරහයි.""","""ඒක ඇත්තටම අප්සෙට්. කේන්තියෙන් කෑගහන්නේ නැතුව, ඔයාගේ පැත්තෙන් වුණ දේ කරුණු ඇතුව සන්සුන්ව කියමු."""
Angry,"""ඇයි මිනිස්සු මාව ගණන් ගන්නේ නැත්තේ?""","""එහෙම දැනෙනකොට දුකයි, තරහයි දෙකම එනවා. ඔයාට ඇත්තටම ආදරේ කරන, ඔයාව අගය කරන කවුරුත් නැද්ද?"""
Angry,"""මගේ අදහසක් හොරකම් කරලා එයාලගේ වගේ පාවිච්චි කළා.""","""ඒක ලොකු වංචාවක්. කේන්ති ගන්නවා වෙනුවට ඔයාගේ වැඩ ටික ලේඛනගත කරලා තියාගන්න, අවශ්‍ය වෙලාවට පෙන්වන්න."""
Angry,"""මට ආයෙත් පාලනය නැති වුණා, මට මගේ ගැනම තරහයි.""","""පොඩි වැරදීමක් වුණා කියලා පසුතැවෙන්න එපා. ඊළඟ සැරේ කේන්ති යන්න කලින් දැනෙන ලකුණු ගැන අවධානයෙන් ඉමු."""
Angry,"""කරන්න ඕන දේවල් අනුන් කියනකොට මට එපා වෙලා.""","""අනුන්ගේ පාලනයට අකමැති වෙන එක සාමාන්‍යයි. ඒත් ඔයාටම තීරණය කරන්න පුළුවන් පොඩි හරි දේවල් තියෙනවා නේද? ඒ ගැන හිතමු."""
Angry,"""මිනිස්සු මට පහත් කරලා කතා කරනකොට මට දරාගන්න බෑ.""","""ඒක ඇත්තටම වැරදියි. 'ඔය විදිහට කතා කරන එක මම අගය කරන්නේ නෑ' කියලා කෙලින්ම සන්සුන්ව කියමු."""
Angry,"""වැරැද්ද කරලත් එයාලා සමාව ඉල්ලුවේ නෑ.""","""සමාව නොලැබෙනකොට හිතට හරිම අමාරුයි. ඒත් එයාලා ගැන හිත හිතා ඉන්නේ නැතුව ඔයාගේ හිතේ සාමය ගැන හිතන්න."""
Angry,"""ප්‍රොජෙක්ට් එකේ මගේ පාට්නර් එයාගේ වැඩේ කළේ නෑ.""","""එතකොට හැම බරක්ම ඔයාගේ ඔළුවට එනවා නේද? 'මට කරන්න පුළුවන් උපරිමය මම කරනවා' කියලා හිත හදාගන්න බලමු."""
Angry,"""මිනිස්සු කවදාවත් වෙනස් වෙන්නේ නෑ!""","""හැමෝම එහෙම නෑ. සමහර මිනිස්සු හෙමින් හරි වෙනස් වෙනවා. ඒ නිසා හැමෝම එකම මිනුමෙන් මනින්න එපා."""
Angry,"""මම එයාලව විශ්වාස කළානේ කියලා හිතද්දී මට කේන්තියි.""","""විශ්වාසය කඩන එක පාවාදීමක්. ඒත් ඔයාගේ වරදක් නෑ, ඔයා කළේ හොඳ දෙයක්. දැන් ඔයාගේ ආරක්ෂාව ගැන හිතමු."""
Angry,"""මගේ යාළුවා මගේ උපදෙස් ඇහුවේ නෑ.""","""උදව් කරන්න ගියාම ඒක ගණන් ගන්නේ නැති වුණාම අප්සෙට් තමයි. ඒත් මිනිස්සු තීරණ ගන්නේ එයාලට ඕන විදිහට නේද?"""
Angry,"""මට කවුරුත් ගරු කරන්නේ නෑ වගේ දැනෙනවා.""","""ඒක හරිම වේදනාකාරී හැඟීමක්. ඇත්තටම ඔයාට ගරු කරන කවුරුත්ම නැද්ද? හැමෝම ගැනම එක විදිහට හිතන්න එපා."""
Angry,"""මගේ පවුලේ අය මාව තේරුම් ගන්නේ නෑ.""","""ගෙදර අය තේරුම් ගන්නේ නැති වුණාම හරිම තනියක් දැනෙනවා. දොස් පවරන්නේ නැතුව 'මට මෙහෙමයි දැනෙන්නේ' කියලා නිදහස් වෙලාවක කියමු."""
Angry,"""ඇයි මිනිස්සුන්ට ඇහුම්කන් දෙන්න බැරි?""","""නොසලකා හරිනවා කියලා දැනෙනකොට කලකිරෙනවා. කතා කරන්න කලින් එයාලා සන්සුන්ව ඉන්නවද කියලා බලලා කතා කරමු."""
Angry,"""මට මේ දවස්වල පොඩි දේටත් මල පනිනවා.""","""ඔයා ගොඩක් stress වෙලා වගේ ඉන්නේ. ඇත්තටම ඔයාට වද දෙන ප්‍රශ්නය මොකක්ද කියලා අපි හෙමින් බලමුද?"""
Angry,"""එයාලා මට සලකපු විදිහ ගැන මට මාර තරහයි.""","""ඔයාගේ කේන්තිය සාධාරණයි. ඒත් ඒ ගැනම හිත හිතා ඉන්නේ නැතුව හිතේ සාමය ඇති කරගන්න මොකක්ද කරන්න පුළුවන් කියලා බලමු."""
Angry,"""මගේ මල්ලි ආයෙත් මගේ බඩු කැඩුවා!""","""ඒක ඇත්තටම කරදරයක්. කෑගහන්නේ නැතුව, ඒක ඔයාට කොච්චර වටිනවද කියලා එයාට සන්සුන්ව තේරුම් කරලා දෙමු."""
Angry,"""කවුරුත් තමන්ගේ වගකීම ගන්නේ නෑ!""","""හැමදේම ඔයාගේ ඔළුවට එනකොට වෙහෙසයි. ඔයාට කරන්න පුළුවන් ටික විතරක් කරලා අනිත් දේවල් අතහරින්න පුරුදු වෙමු."""
Angry,"""මම උදව් කළාට පස්සේ එයාලා 'තෑන්ක්ස්' කිව්වෙවත් නෑ.""","""අගය කිරීමක් නැති වුණාම රිදෙනවා තමයි. ඒත් ඔයා උදව් කළේ ඔයාගේ තියෙන හොඳකම නිසයි කියලා හිතලා සතුටු වෙන්න."""
Angry,"""මම උත්සාහ කළාට මිනිස්සු ඒක අගය කරන්නේ නෑ.""","""ඒක ඇත්තටම කලකිරෙන දෙයක්. සමහරවිට එයාලගේ බලාපොරොත්තු වැඩියි ඇති. ඒ ගැන ඕනෑවට වඩා හිතන්න එපා."""
Angry,"""මම ආයෙත් මගේ සහකරුට බැන්නා.""","""ඔයා ඒක පිළිගත්ත එකම ලොකු දෙයක්. ඊළඟ සැරේ කෑගහන්න කලින් එකේ ඉඳන් දහයට ගණන් කරලා හුස්මක් ගන්න බලන්න."""
Angry,"""ඇයි මට හැම වෙලේම මෙහෙම වෙන්නේ?""","""හැම වෙලේම එහෙම වෙන්නේ නෑ. මේක එක අවස්ථාවක් විතරයි. මේ වෙලාවේ මීට වඩා හොඳට ප්‍රතිචාර දක්වන්නේ කොහොමද කියලා හිතමු."""
